,phylum,class,genus,species,form,sample,image_name,image_info,image_url
19,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_SAF_Henry5.jpg,A pair of oocysts of C. cayetanensis stained with safranin (SAF).,https://www.cdc.gov//dpdx/cyclosporiasis/images/5/Cyclospora_SAF_Henry5.jpg
20,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_SAF_Henry2.jpg,Oocyst of C. cayetanensis stained with safranin (SAF).,https://www.cdc.gov//dpdx/cyclosporiasis/images/5/Cyclospora_SAF_Henry2.jpg
21,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,CryptoCyclo_SAF_Henry1.jpg,"Oocyst of C. cayetanensis (yellow arrow) along with an oocyst of Cryptosporidium parvum (red arrow), stained with safranin (SAF). Cryptosporidium spp. also stain with the safranin and modified acid-fast stains.",https://www.cdc.gov//dpdx/cyclosporiasis/images/5/CryptoCyclo_SAF_Henry1.jpg
22,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_SAF_Henry3.jpg,Oocyst of C. cayetanensis stained with safranin (SAF).,https://www.cdc.gov//dpdx/cyclosporiasis/images/5/Cyclospora_SAF_Henry3.jpg
23,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_SAF_Henry4.jpg,Oocyst of C. cayetanensis stained with safranin (SAF).,https://www.cdc.gov//dpdx/cyclosporiasis/images/5/Cyclospora_SAF_Henry4.jpg
24,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_DIC_Mike1.jpg,Oocyst of C. cayetanensis viewed under differential interference contrast (DIC) microscopy. The refractile globules are easily visible under DIC.,https://www.cdc.gov//dpdx/cyclosporiasis/images/6/Cyclospora_DIC_Mike1.jpg
25,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_DIC_Mike2.jpg,Oocyst of C. cayetanensis viewed under differential interference contrast (DIC) microscopy. The refractile globules are easily visible under DIC.,https://www.cdc.gov//dpdx/cyclosporiasis/images/6/Cyclospora_DIC_Mike2.jpg
26,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_DIC_Mike3.jpg,Oocyst of C. cayetanensis viewed under DIC microscopy. There are two sporocysts are visible in this image.,https://www.cdc.gov//dpdx/cyclosporiasis/images/6/Cyclospora_DIC_Mike3.jpg
27,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_DIC_Mike5.jpg,Oocyst of C. cayetanensis viewed under DIC microscopy.,https://www.cdc.gov//dpdx/cyclosporiasis/images/6/Cyclospora_DIC_Mike5.jpg
28,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_DIC_Mike6.jpg,A pair of oocysts of C. cayetanensis viewed under DIC microscopy.,https://www.cdc.gov//dpdx/cyclosporiasis/images/6/Cyclospora_DIC_Mike6.jpg
29,Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,Oocyst,Fecal,Cyclospora_DIC_rupture.jpg,Rupturing oocyst of C. cayetanensis viewed under DIC microscopy. One sporocyst has has been released from the mature oocyst; the second sporocyst is still contained within the oocyst wall.,https://www.cdc.gov//dpdx/cyclosporiasis/images/6/Cyclospora_DIC_rupture.jpg
