phylum,class,genus,species,form,sample,image_name,image_url,img_path
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestinal tissue,Evermicularis_SC_posterior.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/2/Evermicularis_SC_posterior.jpg,./Dataset/Enterobius/Evermicularis_SC_posterior.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestinal tissue,Evermicularis_worm4_HB.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/3/Evermicularis_worm4_HB.jpg,./Dataset/Enterobius/Evermicularis_worm4_HB.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestinal tissue,Evermicularis_worm5_HB.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/3/Evermicularis_worm5_HB.jpg,./Dataset/Enterobius/Evermicularis_worm5_HB.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestinal tissue,Evermicularis_Sheboygan_cross.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/3/Evermicularis_Sheboygan_cross.jpg,./Dataset/Enterobius/Evermicularis_Sheboygan_cross.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestinal tissue,Evermicularis_Sheboygan_longitud.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/3/Evermicularis_Sheboygan_longitud.jpg,./Dataset/Enterobius/Evermicularis_Sheboygan_longitud.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestinal tissue,E_vermicularis_eggs_tissue1.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/3/E_vermicularis_eggs_tissue1.jpg,./Dataset/Enterobius/E_vermicularis_eggs_tissue1.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestinal tissue,E_vermicularis_eggs_tissue2.jpg,https://www.cdc.gov//dpdx/enterobiasis/images/3/E_vermicularis_eggs_tissue2.jpg,./Dataset/Enterobius/E_vermicularis_eggs_tissue2.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,egg,feces,Hookworm_egg_wtmt.jpg,https://www.cdc.gov//dpdx/hookworm/images/1/Hookworm_egg_wtmt.jpg,./Dataset/Ancylostoma/Hookworm_egg_wtmt.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,egg,feces,Hookworm_egg_BAM1.jpg,https://www.cdc.gov//dpdx/hookworm/images/1/Hookworm_egg_BAM1.jpg,./Dataset/Ancylostoma/Hookworm_egg_BAM1.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,egg,feces,Hookworm_egg_BAM_MCS.jpg,https://www.cdc.gov//dpdx/hookworm/images/1/Hookworm_egg_BAM_MCS.jpg,./Dataset/Ancylostoma/Hookworm_egg_BAM_MCS.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,egg,feces,Hookworm_2x2_B.jpg,https://www.cdc.gov//dpdx/hookworm/images/1/Hookworm_2x2_B.jpg,./Dataset/Ancylostoma/Hookworm_2x2_B.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,egg,feces,Hookworm_2x2_C.jpg,https://www.cdc.gov//dpdx/hookworm/images/1/Hookworm_2x2_C.jpg,./Dataset/Ancylostoma/Hookworm_2x2_C.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,egg,feces,Hookworm_egg_uv_200x.jpg,https://www.cdc.gov//dpdx/hookworm/images/1/Hookworm_egg_uv_200x.jpg,./Dataset/Ancylostoma/Hookworm_egg_uv_200x.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,larva,feces,Hookworm_rhabditiform.jpg,https://www.cdc.gov//dpdx/hookworm/images/2/Hookworm_rhabditiform.jpg,./Dataset/Ancylostoma/Hookworm_rhabditiform.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,larva,feces,Hookworm_rhabditiform_2.jpg,https://www.cdc.gov//dpdx/hookworm/images/2/Hookworm_rhabditiform_2.jpg,./Dataset/Ancylostoma/Hookworm_rhabditiform_2.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,larva,feces,Hookworm_filariform_A.jpg,https://www.cdc.gov//dpdx/hookworm/images/3/Hookworm_filariform_A.jpg,./Dataset/Ancylostoma/Hookworm_filariform_A.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,larva,feces,Hookworm_filariform_B.jpg,https://www.cdc.gov//dpdx/hookworm/images/3/Hookworm_filariform_B.jpg,./Dataset/Ancylostoma/Hookworm_filariform_B.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,larva,feces,Hookworm_filariform_C.jpg,https://www.cdc.gov//dpdx/hookworm/images/3/Hookworm_filariform_C.jpg,./Dataset/Ancylostoma/Hookworm_filariform_C.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,larva,feces,Hookworm_filariform_posterior_A.jpg,https://www.cdc.gov//dpdx/hookworm/images/3/Hookworm_filariform_posterior_A.jpg,./Dataset/Ancylostoma/Hookworm_filariform_posterior_A.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,adult,intestinal tissue,Aduodenale_head_A.jpg,https://www.cdc.gov//dpdx/hookworm/images/4/Aduodenale_head_A.jpg,./Dataset/Ancylostoma/Aduodenale_head_A.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,adult,intestinal tissue,Namericanus_head_B.jpg,https://www.cdc.gov//dpdx/hookworm/images/4/Namericanus_head_B.jpg,./Dataset/Ancylostoma/Namericanus_head_B.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,adult,intestinal tissue,Hookworm_tissue_BAM1.jpg,https://www.cdc.gov//dpdx/hookworm/images/5/Hookworm_tissue_BAM1.jpg,./Dataset/Ancylostoma/Hookworm_tissue_BAM1.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,adult,intestinal tissue,Hookworm_tissue_BAM2.jpg,https://www.cdc.gov//dpdx/hookworm/images/5/Hookworm_tissue_BAM2.jpg,./Dataset/Ancylostoma/Hookworm_tissue_BAM2.jpg
Nematoda,Chromadorea,Ancylostoma,Ancyclostoma sp.,adult,intestinal tissue,Hookworm_tissue_BAM3.jpg,https://www.cdc.gov//dpdx/hookworm/images/5/Hookworm_tissue_BAM3.jpg,./Dataset/Ancylostoma/Hookworm_tissue_BAM3.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Dlatum_eggs_OR.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Dlatum_eggs_OR.jpg,./Dataset/Dibothriocephalus/Dlatum_eggs_OR.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Dlatum_egg_OR2.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Dlatum_egg_OR2.jpg,./Dataset/Dibothriocephalus/Dlatum_egg_OR2.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Dlatum_eggs_FL.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Dlatum_eggs_FL.jpg,./Dataset/Dibothriocephalus/Dlatum_eggs_FL.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Dlatum_eggs_inworm.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Dlatum_eggs_inworm.jpg,./Dataset/Dibothriocephalus/Dlatum_eggs_inworm.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Dlatum_egg_wtmt2.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Dlatum_egg_wtmt2.jpg,./Dataset/Dibothriocephalus/Dlatum_egg_wtmt2.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Dlatum_egg_wtmt3.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Dlatum_egg_wtmt3.jpg,./Dataset/Dibothriocephalus/Dlatum_egg_wtmt3.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Diph_egg_1.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Diph_egg_1.jpg,./Dataset/Dibothriocephalus/Diph_egg_1.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Diph_egg_2.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Diph_egg_2.jpg,./Dataset/Dibothriocephalus/Diph_egg_2.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Diph_egg_3.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Diph_egg_3.jpg,./Dataset/Dibothriocephalus/Diph_egg_3.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,feces,Diph_egg_4.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/1/Diph_egg_4.jpg,./Dataset/Dibothriocephalus/Diph_egg_4.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,adult,intestine ,Dlatum_whole_worm_FL.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/3/Dlatum_whole_worm_FL.jpg,./Dataset/Dibothriocephalus/Dlatum_whole_worm_FL.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,adult,intestine ,Dlatum_proglottid_FL.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/3/Dlatum_proglottid_FL.jpg,./Dataset/Dibothriocephalus/Dlatum_proglottid_FL.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,adult,intestine ,Diph_A.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/3/Diph_A.jpg,./Dataset/Dibothriocephalus/Diph_A.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,adult,intestine ,Diph_B.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/3/Diph_B.jpg,./Dataset/Dibothriocephalus/Diph_B.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,adult,intestine ,Diph_proglottids.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/3/Diph_proglottids.jpg,./Dataset/Dibothriocephalus/Diph_proglottids.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,adult,intestine ,Diph_GP.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/3/Diph_GP.jpg,./Dataset/Dibothriocephalus/Diph_GP.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,adult,intestine ,Diph_scolex.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/3/Diph_scolex.jpg,./Dataset/Dibothriocephalus/Diph_scolex.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,intestinal tissue,Diphyllobothrium_tissue_WA_100x1.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/4/Diphyllobothrium_tissue_WA_100x1.jpg,./Dataset/Dibothriocephalus/Diphyllobothrium_tissue_WA_100x1.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,intestinal tissue,Diphyllobothrium_tissue_WA_500x2.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/4/Diphyllobothrium_tissue_WA_500x2.jpg,./Dataset/Dibothriocephalus/Diphyllobothrium_tissue_WA_500x2.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,intestinal tissue,Diphyllobothrium_tissue_WA_100x2.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/4/Diphyllobothrium_tissue_WA_100x2.jpg,./Dataset/Dibothriocephalus/Diphyllobothrium_tissue_WA_100x2.jpg
Platyhelminthes,Cestoda,Dibothriocephalus,Dibothriocephalus latus,egg,intestinal tissue,Diphyllobothrium_tissue_WA_500x1.jpg,https://www.cdc.gov//dpdx/diphyllobothriasis/images/4/Diphyllobothrium_tissue_WA_500x1.jpg,./Dataset/Dibothriocephalus/Diphyllobothrium_tissue_WA_500x1.jpg
Nematoda,Enoplea,Trichinella,Trichinella sp.,larva,muscle tissue,Trichinella_BAM1.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/1/Trichinella_BAM1.jpg,./Dataset/Trichinella/Trichinella_BAM1.jpg
Nematoda,Enoplea,Trichinella,Trichinella sp.,larva,muscle tissue,Trichinella_BAM5b.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/1/Trichinella_BAM5b.jpg,./Dataset/Trichinella/Trichinella_BAM5b.jpg
Nematoda,Enoplea,Trichinella,Trichinella sp.,larva,muscle tissue,Trichinella_BAM2.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/1/Trichinella_BAM2.jpg,./Dataset/Trichinella/Trichinella_BAM2.jpg
Nematoda,Enoplea,Trichinella,Trichinella sp.,larva,muscle tissue,Trichinella_BAM3.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/1/Trichinella_BAM3.jpg,./Dataset/Trichinella/Trichinella_BAM3.jpg
Nematoda,Enoplea,Trichinella,Trichinella sp.,larva,muscle tissue,Trichinella_BAM4.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/1/Trichinella_BAM4.jpg,./Dataset/Trichinella/Trichinella_BAM4.jpg
Nematoda,Enoplea,Trichinella,Trichinella sp.,larva,muscle tissue,Trichinella_rat_BAM1.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/2/Trichinella_rat_BAM1.jpg,./Dataset/Trichinella/Trichinella_rat_BAM1.jpg
Nematoda,Enoplea,Trichinella,Trichinella sp.,larva,muscle tissue,Trichinella_rat_BAM2.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/2/Trichinella_rat_BAM2.jpg,./Dataset/Trichinella/Trichinella_rat_BAM2.jpg
Nematoda,Enoplea,Trichinella,Trichinella sp.,larva,bear meat,Trichinella_HBa.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/3/Trichinella_HBa.jpg,./Dataset/Trichinella/Trichinella_HBa.jpg
Nematoda,Enoplea,Trichinella,Trichinella sp.,larva,bear meat,Trichinella_larvaeF.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/3/Trichinella_larvaeF.jpg,./Dataset/Trichinella/Trichinella_larvaeF.jpg
Nematoda,Enoplea,Trichinella,Trichinella sp.,larva,bear meat,Trichinella_HBb.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/3/Trichinella_HBb.jpg,./Dataset/Trichinella/Trichinella_HBb.jpg
Nematoda,Enoplea,Trichinella,Trichinella sp.,larva,bear meat,Trichinella_larvaeG.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/3/Trichinella_larvaeG.jpg,./Dataset/Trichinella/Trichinella_larvaeG.jpg
Nematoda,Enoplea,Trichinella,Trichinella sp.,larva,bear meat,Trichinella_HBc.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/3/Trichinella_HBc.jpg,./Dataset/Trichinella/Trichinella_HBc.jpg
Nematoda,Enoplea,Trichinella,Trichinella sp.,larva,bear meat,Trichinella_HBd.jpg,https://www.cdc.gov//dpdx/trichinellosis/images/3/Trichinella_HBd.jpg,./Dataset/Trichinella/Trichinella_HBd.jpg
Apicomplexa,Conoidasida,Toxoplasma,Toxoplasma gondii,trophozoites,macro-organism,T_gondii_tachy.jpg,https://www.cdc.gov//dpdx/toxoplasmosis/images/1/T_gondii_tachy.jpg,./Dataset/Toxoplasma/T_gondii_tachy.jpg
Apicomplexa,Conoidasida,Toxoplasma,Toxoplasma gondii,cyst,brain tissue,T_gondii_cyst_brain.jpg,https://www.cdc.gov//dpdx/toxoplasmosis/images/2/T_gondii_cyst_brain.jpg,./Dataset/Toxoplasma/T_gondii_cyst_brain.jpg
Apicomplexa,Conoidasida,Toxoplasma,Toxoplasma gondii,cyst,brain tissue,T_gondii_cyst_brain2.jpg,https://www.cdc.gov//dpdx/toxoplasmosis/images/2/T_gondii_cyst_brain2.jpg,./Dataset/Toxoplasma/T_gondii_cyst_brain2.jpg
Apicomplexa,Conoidasida,Toxoplasma,Toxoplasma gondii,cyst,brain tissue,T_gondii_cyst_unstained.jpg,https://www.cdc.gov//dpdx/toxoplasmosis/images/3/T_gondii_cyst_unstained.jpg,./Dataset/Toxoplasma/T_gondii_cyst_unstained.jpg
Apicomplexa,Conoidasida,Toxoplasma,Toxoplasma gondii,cyst,wet mount,T_gondii_oocyst_sporu.jpg,https://www.cdc.gov//dpdx/toxoplasmosis/images/4/T_gondii_oocyst_sporu.jpg,./Dataset/Toxoplasma/T_gondii_oocyst_sporu.jpg
Apicomplexa,Conoidasida,Toxoplasma,Toxoplasma gondii,oocysts,wet mount,T_gondii_DIC_sporu_100X1.jpg,https://www.cdc.gov//dpdx/toxoplasmosis/images/4/T_gondii_DIC_sporu_100X1.jpg,./Dataset/Toxoplasma/T_gondii_DIC_sporu_100X1.jpg
Apicomplexa,Conoidasida,Toxoplasma,Toxoplasma gondii,oocysts,wet mount,T_gondii_oocyst_upsporu.jpg,https://www.cdc.gov//dpdx/toxoplasmosis/images/5/T_gondii_oocyst_upsporu.jpg,./Dataset/Toxoplasma/T_gondii_oocyst_upsporu.jpg
Apicomplexa,Conoidasida,Toxoplasma,Toxoplasma gondii,oocysts,wet mount,T_gondii_DIC_unsporu_100X1.jpg,https://www.cdc.gov//dpdx/toxoplasmosis/images/5/T_gondii_DIC_unsporu_100X1.jpg,./Dataset/Toxoplasma/T_gondii_DIC_unsporu_100X1.jpg
Apicomplexa,Conoidasida,Toxoplasma,Toxoplasma gondii,oocysts,feces,T_gondii_ooycst_fecalfloa.jpg,https://www.cdc.gov//dpdx/toxoplasmosis/images/5/T_gondii_ooycst_fecalfloa.jpg,./Dataset/Toxoplasma/T_gondii_ooycst_fecalfloa.jpg
Apicomplexa,Conoidasida,Toxoplasma,Toxoplasma gondii,oocysts,feces,T_gondii_ooycst_fecalfloat2.jpg,https://www.cdc.gov//dpdx/toxoplasmosis/images/5/T_gondii_ooycst_fecalfloat2.jpg,./Dataset/Toxoplasma/T_gondii_ooycst_fecalfloat2.jpg
Apicomplexa,Conoidasida,Toxoplasma,Toxoplasma gondii,cyst,eye,Toxo_ocular.jpg,https://www.cdc.gov//dpdx/toxoplasmosis/images/7/Toxo_ocular.jpg,./Dataset/Toxoplasma/Toxo_ocular.jpg
Apicomplexa,Conoidasida,Toxoplasma,Toxoplasma gondii,cyst,eye,Congen_Toxo_ocular2.jpg,https://www.cdc.gov//dpdx/toxoplasmosis/images/7/Congen_Toxo_ocular2.jpg,./Dataset/Toxoplasma/Congen_Toxo_ocular2.jpg
Apicomplexa,Conoidasida,Toxoplasma,Toxoplasma gondii,cyst,eye,Congen_Toxo_ocular.jpg,https://www.cdc.gov//dpdx/toxoplasmosis/images/7/Congen_Toxo_ocular.jpg,./Dataset/Toxoplasma/Congen_Toxo_ocular.jpg
Platyhelminthes,Rhabditophora,Clonorchis,Clonorchis sinensis,egg,feces,Clonorchis_egg.jpg,https://www.cdc.gov//dpdx/clonorchiasis/images/1/Clonorchis_egg.jpg,./Dataset/Clonorchis/Clonorchis_egg.jpg
Platyhelminthes,Rhabditophora,Clonorchis,Clonorchis sinensis,egg,feces,Clonorchis_egg2.jpg,https://www.cdc.gov//dpdx/clonorchiasis/images/1/Clonorchis_egg2.jpg,./Dataset/Clonorchis/Clonorchis_egg2.jpg
Platyhelminthes,Rhabditophora,Clonorchis,Clonorchis sinensis,egg,feces,Clonorchis_egg5_web.jpg,https://www.cdc.gov//dpdx/clonorchiasis/images/1/Clonorchis_egg5_web.jpg,./Dataset/Clonorchis/Clonorchis_egg5_web.jpg
Platyhelminthes,Rhabditophora,Clonorchis,Clonorchis sinensis,egg,feces,Clonorchis_egg6_web.jpg,https://www.cdc.gov//dpdx/clonorchiasis/images/1/Clonorchis_egg6_web.jpg,./Dataset/Clonorchis/Clonorchis_egg6_web.jpg
Platyhelminthes,Rhabditophora,Clonorchis,Clonorchis sinensis,adult,bile duct,Clonorchis_adult_web.jpg,https://www.cdc.gov//dpdx/clonorchiasis/images/2/Clonorchis_adult_web.jpg,./Dataset/Clonorchis/Clonorchis_adult_web.jpg
Platyhelminthes,Rhabditophora,Clonorchis,Clonorchis sinensis,adult,bile duct,Clonorchis_new_labeled,https://www.cdc.gov//dpdx/clonorchiasis/images/2/Clonorchis_new_labeled.jpg,./Dataset/Clonorchis/Clonorchis_new_labeled
Platyhelminthes,Rhabditophora,Clonorchis,Clonorchis sinensis,egg,macro-organism,P_manchouricus_KoreaA.jpg,https://www.cdc.gov//dpdx/clonorchiasis/images/3/P_manchouricus_KoreaA.jpg,./Dataset/Clonorchis/P_manchouricus_KoreaA.jpg
Platyhelminthes,Rhabditophora,Clonorchis,Clonorchis sinensis,egg,macro-organism,Bithynia_tentaculata_Manas.jpg,https://www.cdc.gov//dpdx/clonorchiasis/images/3/Bithynia_tentaculata_Manas.jpg,./Dataset/Clonorchis/Bithynia_tentaculata_Manas.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],cyst,wet mount,E_histodispar_2x2_A.jpg,https://www.cdc.gov//dpdx/amebiasis/images/1/E_histodispar_2x2_A.jpg,./Dataset/Entamoeba/E_histodispar_2x2_A.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],cyst,wet mount,E_histodispar_2x2_B.jpg,https://www.cdc.gov//dpdx/amebiasis/images/1/E_histodispar_2x2_B.jpg,./Dataset/Entamoeba/E_histodispar_2x2_B.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],cyst,wet mount,Ehistdisp_cyst_wtmt.jpg,https://www.cdc.gov//dpdx/amebiasis/images/1/Ehistdisp_cyst_wtmt.jpg,./Dataset/Entamoeba/Ehistdisp_cyst_wtmt.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],cyst,wet mount,E_histodispar_2x2_C.jpg,https://www.cdc.gov//dpdx/amebiasis/images/1/E_histodispar_2x2_C.jpg,./Dataset/Entamoeba/E_histodispar_2x2_C.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],cyst,wet mount,Ehistdisp_cyst_tric.jpg,https://www.cdc.gov//dpdx/amebiasis/images/2/Ehistdisp_cyst_tric.jpg,./Dataset/Entamoeba/Ehistdisp_cyst_tric.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],cyst,wet mount,Ehistdisp_cyst_tric4.jpg,https://www.cdc.gov//dpdx/amebiasis/images/2/Ehistdisp_cyst_tric4.jpg,./Dataset/Entamoeba/Ehistdisp_cyst_tric4.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],cyst,wet mount,Ehistdisp_cyst_tric2.jpg,https://www.cdc.gov//dpdx/amebiasis/images/2/Ehistdisp_cyst_tric2.jpg,./Dataset/Entamoeba/Ehistdisp_cyst_tric2.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],cyst,wet mount,Ehistdisp_cyst_tric3.jpg,https://www.cdc.gov//dpdx/amebiasis/images/2/Ehistdisp_cyst_tric3.jpg,./Dataset/Entamoeba/Ehistdisp_cyst_tric3.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],cyst,wet mount,Ehisto_cyst_tric.jpg,https://www.cdc.gov//dpdx/amebiasis/images/3/Ehisto_cyst_tric.jpg,./Dataset/Entamoeba/Ehisto_cyst_tric.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],cyst,wet mount,Ehistdisp_cyst_tric5_KS.jpg,https://www.cdc.gov//dpdx/amebiasis/images/3/Ehistdisp_cyst_tric5_KS.jpg,./Dataset/Entamoeba/Ehistdisp_cyst_tric5_KS.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],cyst,wet mount,Ehistdisp_cyst_tric6_KS.jpg,https://www.cdc.gov//dpdx/amebiasis/images/3/Ehistdisp_cyst_tric6_KS.jpg,./Dataset/Entamoeba/Ehistdisp_cyst_tric6_KS.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],cyst,wet mount,Ehistdisp_cyst_tric7_KS.jpg,https://www.cdc.gov//dpdx/amebiasis/images/3/Ehistdisp_cyst_tric7_KS.jpg,./Dataset/Entamoeba/Ehistdisp_cyst_tric7_KS.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica],trophozoites,wet mount,Ehistdisp_troph_wtmt.jpg,https://www.cdc.gov//dpdx/amebiasis/images/4/Ehistdisp_troph_wtmt.jpg,./Dataset/Entamoeba/Ehistdisp_troph_wtmt.jpg
